sacc_code,country,year,departures,display_country
2304,Germany,2006-07,2880,Germany
2306,Luxembourg,2006-07,10,Luxembourg
2307,Monaco,2006-07,0,Monaco
2308,Netherlands,2006-07,1150,Netherlands
2311,Switzerland,2006-07,700,Switzerland
2401,Denmark,2006-07,390,Denmark
2402,Faroe Islands,2006-07,0,Faroe Islands
2403,Finland,2006-07,230,Finland
2405,Iceland,2006-07,30,Iceland
2406,Norway,2006-07,770,Norway
2407,Sweden,2006-07,890,Sweden
3101,Andorra,2006-07,0,Andorra
3102,Gibraltar,2006-07,10,Gibraltar
3104,Italy,2006-07,1060,Italy
3105,Malta,2006-07,140,Malta
3106,Portugal,2006-07,250,Portugal
3108,Spain,2006-07,430,Spain
3201,Albania,2006-07,40,Albania
3202,Bosnia/Herzegov,2006-07,360,Bosnia/Herzegov
3203,Bulgaria,2006-07,100,Bulgaria
3204,Croatia,2006-07,500,Croatia
3205,Cyprus,2006-07,200,Cyprus
3206,North Macedonia,2006-07,370,North Macedonia
3207,Greece,2006-07,800,Greece
3208,Moldova,2006-07,30,Moldova
3211,Romania,2006-07,280,Romania
3212,Slovenia,2006-07,70,Slovenia
3214,Montenegro,2006-07,10,Montenegro
3215,Serbia,2006-07,140,Serbia
3216,Kosovo,2006-07,0,Kosovo
3301,Belarus,2006-07,10,Belarus
3302,Czechia,2006-07,440,Czechia
3303,Estonia,2006-07,60,Estonia
3304,Hungary,2006-07,220,Hungary
3305,Latvia,2006-07,80,Latvia
3306,Lithuania,2006-07,50,Lithuania
3307,Poland,2006-07,880,Poland
3308,Russia,2006-07,370,Russia
3311,Slovakia,2006-07,250,Slovakia
3312,Ukraine,2006-07,260,Ukraine
4101,Algeria,2006-07,50,Algeria
4102,Egypt,2006-07,280,Egypt
4103,Libya,2006-07,40,Libya
4104,Morocco,2006-07,50,Morocco
4105,Sudan,2006-07,150,Sudan
4106,Tunisia,2006-07,10,Tunisia
4111,South Sudan,2006-07,0,South Sudan
4201,Bahrain,2006-07,90,Bahrain
4202,Palestine,2006-07,10,Palestine
4203,Iran,2006-07,580,Iran
4204,Iraq,2006-07,310,Iraq
4205,Israel,2006-07,400,Israel
4206,Jordan,2006-07,190,Jordan
4207,Kuwait,2006-07,170,Kuwait
4208,Lebanon,2006-07,680,Lebanon
4211,Oman,2006-07,180,Oman
4212,Qatar,2006-07,40,Qatar
4213,Saudi Arabia,2006-07,460,Saudi Arabia
4214,Syria,2006-07,120,Syria
4215,Türkiye,2006-07,720,Türkiye
4216,Unit Arab Emir,2006-07,230,Unit Arab Emir
4217,Yemen,2006-07,10,Yemen
5101,Myanmar,2006-07,130,Myanmar
5102,Cambodia,2006-07,280,Cambodia
5103,Laos,2006-07,140,Laos
5104,Thailand,2006-07,2660,Thailand
5105,Vietnam,2006-07,2020,Vietnam
5201,Brunei,2006-07,170,Brunei
5202,Indonesia,2006-07,5430,Indonesia
5203,Malaysia,2006-07,5400,Malaysia
5204,Philippines,2006-07,3790,Philippines
5205,Singapore,2006-07,3920,Singapore
5206,Timor-Leste,2006-07,170,Timor-Leste
6101,China,2006-07,11660,China
6102,Hong Kong,2006-07,4470,Hong Kong
6103,Macau,2006-07,120,Macau
6104,Mongolia,2006-07,90,Mongolia
6105,Taiwan,2006-07,2550,Taiwan
6201,Japan,2006-07,5720,Japan
6202,"Korea, North",2006-07,120,"Korea, North"
6203,"Korea, South",2006-07,6050,Korea South
7101,Bangladesh,2006-07,580,Bangladesh
7102,Bhutan,2006-07,50,Bhutan
7103,India,2006-07,6590,India
7104,Maldives,2006-07,60,Maldives
7105,Nepal,2006-07,170,Nepal
7106,Pakistan,2006-07,650,Pakistan
7107,Sri Lanka,2006-07,1180,Sri Lanka
7201,Afghanistan,2006-07,120,Afghanistan
7202,Armenia,2006-07,20,Armenia
7203,Azerbaijan,2006-07,10,Azerbaijan
7204,Georgia,2006-07,10,Georgia
7205,Kazakhstan,2006-07,30,Kazakhstan
7206,Kyrgyzstan,2006-07,10,Kyrgyzstan
7207,Tajikistan,2006-07,0,Tajikistan
7208,Turkmenistan,2006-07,0,Turkmenistan
7211,Uzbekistan,2006-07,20,Uzbekistan
8101,Bermuda,2006-07,10,Bermuda
8102,Canada,2006-07,2430,Canada
8104,USA,2006-07,6980,USA
8201,Argentina,2006-07,270,Argentina
8202,Bolivia,2006-07,10,Bolivia
8203,Brazil,2006-07,860,Brazil
8204,Chile,2006-07,340,Chile
8205,Colombia,2006-07,310,Colombia
8206,Ecuador,2006-07,50,Ecuador
8207,Falkland Is,2006-07,0,Falkland Is
8208,French Guiana,2006-07,0,French Guiana
8211,Guyana,2006-07,10,Guyana
8212,Paraguay,2006-07,10,Paraguay
8213,Peru,2006-07,130,Peru
8214,Suriname,2006-07,0,Suriname
8215,Uruguay,2006-07,80,Uruguay
8216,Venezuela,2006-07,70,Venezuela
8301,Belize,2006-07,0,Belize
8302,Costa Rica,2006-07,10,Costa Rica
8303,El Salvador,2006-07,60,El Salvador
8304,Guatemala,2006-07,10,Guatemala
8305,Honduras,2006-07,0,Honduras
8306,Mexico,2006-07,220,Mexico
8307,Nicaragua,2006-07,10,Nicaragua
8308,Panama,2006-07,20,Panama
8404,Bahamas,2006-07,10,Bahamas
8405,Barbados,2006-07,10,Barbados
8406,Cayman Islands,2006-07,0,Cayman Islands
8407,Cuba,2006-07,20,Cuba
8408,Dominica,2006-07,0,Dominica
8411,Dominican Rep,2006-07,0,Dominican Rep
8412,Grenada,2006-07,0,Grenada
8413,Guadeloupe,2006-07,0,Guadeloupe
8414,Haiti,2006-07,10,Haiti
8415,Jamaica,2006-07,30,Jamaica
8416,Martinique,2006-07,10,Martinique
8421,Puerto Rico,2006-07,0,Puerto Rico
8423,St Lucia,2006-07,0,St Lucia
8424,St Vinc/Grenad,2006-07,0,St Vinc/Grenad
8425,Trinidad/Tobago,2006-07,30,Trinidad/Tobago
8428,"Virgin Is, US",2006-07,0,"Virgin Is, US"
8434,Curacao,2006-07,0,Curacao
9101,Benin,2006-07,0,Benin
9103,Cameroon,2006-07,10,Cameroon
9104,Cabo Verde,2006-07,0,Cabo Verde
9107,"Congo, Rep",2006-07,20,"Congo, Rep"
9108,"Congo, Dem Rep",2006-07,10,"Congo, Dem Rep"
9111,Cote d'Ivoire,2006-07,10,Cote d'Ivoire
9113,Gabon,2006-07,0,Gabon
9114,Gambia,2006-07,0,Gambia
9115,Ghana,2006-07,70,Ghana
9116,Guinea,2006-07,0,Guinea
9118,Liberia,2006-07,10,Liberia
9121,Mali,2006-07,0,Mali
9123,Niger,2006-07,0,Niger
9124,Nigeria,2006-07,90,Nigeria
9126,Senegal,2006-07,10,Senegal
9127,Sierra Leone,2006-07,10,Sierra Leone
9128,Togo,2006-07,0,Togo
9201,Angola,2006-07,10,Angola
9202,Botswana,2006-07,180,Botswana
9203,Burundi,2006-07,0,Burundi
9205,Djibouti,2006-07,0,Djibouti
9206,Eritrea,2006-07,30,Eritrea
9207,Ethiopia,2006-07,80,Ethiopia
9208,Kenya,2006-07,320,Kenya
9211,Lesotho,2006-07,10,Lesotho
9212,Madagascar,2006-07,10,Madagascar
9213,Malawi,2006-07,50,Malawi
9214,Mauritius,2006-07,220,Mauritius
9216,Mozambique,2006-07,60,Mozambique
9217,Namibia,2006-07,30,Namibia
9218,Reunion,2006-07,10,Reunion
9221,Rwanda,2006-07,10,Rwanda
9223,Seychelles,2006-07,50,Seychelles
9224,Somalia,2006-07,120,Somalia
9225,South Africa,2006-07,1900,South Africa
9226,Eswatini,2006-07,10,Eswatini
9227,Tanzania,2006-07,60,Tanzania
9228,Uganda,2006-07,40,Uganda
9231,Zambia,2006-07,130,Zambia
9232,Zimbabwe,2006-07,420,Zimbabwe
1102,Norfolk Island,2007-08,20,Norfolk Island
1201,New Zealand,2007-08,14340,New Zealand
1301,New Caledonia,2007-08,120,New Caledonia
1302,PNG,2007-08,840,PNG
1303,Solomon Islands,2007-08,130,Solomon Islands
1304,Vanuatu,2007-08,80,Vanuatu
1401,Guam,2007-08,10,Guam
1402,Kiribati,2007-08,40,Kiribati
1403,Marshall Is,2007-08,0,Marshall Is
1404,"Micronesia, F S",2007-08,10,"Micronesia, F S"
1405,Nauru,2007-08,40,Nauru
1406,N Mariana Is,2007-08,0,N Mariana Is
1407,Palau,2007-08,0,Palau
1501,Cook Islands,2007-08,200,Cook Islands
